xdata ydata 
0.0 0.0010009844645918256 
1.0 0.0010037511003725126 
2.0 0.0010105146379430564 
3.0 0.001021034110957184 
4.0 0.0010249325629000255 
5.0 0.0010286421892098097 
6.0 0.0010333346349493584 
7.0 0.0010432497193881213 
8.0 0.001049969112119171 
9.0 0.001053362528277942 
10.0 0.0010576771156992194 
11.0 0.0010580477963510959 
12.0 0.00106195767106554 
13.0 0.0010627628213476657 
14.0 0.0010624470710160984 
15.0 0.0010671444805123165 
16.0 0.00106811973176461 
17.0 0.001072799592579364 
18.0 0.0010751516480214172 
19.0 0.001074658931346679 
